,Site,Crop,Experiment,Treatment ,Mineral N kg/ha/y,farmyard manure t/ha/year,Reported yield data (t DM/ha),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Mean,min_yield,max_yield,Soil texture,LAT,LON,SIMUID_1,Sand,Silt,Clay
19,Hněvčeves,WWHT,140,71,0.0,0.0,grain,4.1839,,5.1299,5.1342,7.120799999999999,,,4.747199999999999,6.574699999999999,,6.3554,,5.0138,5.074,,5.3234,,,,5.46573,4.1839,7.120799999999999,clay loam,50.31,15.72,26449.0,35.0,30.0,35.0
20,Hněvčeves,WWHT,140,opt,100.0,10.0,grain,7.622466666666668,,6.9316,7.31,10.530700000000001,,,7.611,9.548866666666667,,7.7615,,7.009,7.224,,8.8838,,,,8.043293333333333,6.9316,10.530700000000001,clay loam,50.31,15.72,26449.0,35.0,30.0,35.0
21,Hněvčeves,WWHT,140,opt,100.0,10.0,grain,7.622466666666668,,6.9316,7.31,10.530700000000001,,,7.611,9.548866666666667,,7.7615,,7.009,7.224,,8.8838,,,,8.043293333333333,6.9316,10.530700000000001,clay loam,50.31,15.72,26449.0,35.0,30.0,35.0
22,Kostelec,WWHT,140,71,0.0,0.0,grain,3.87,,3.8614,5.16,5.4868,,,4.3172,4.558,,5.1944,,3.7840000000000003,5.805,,,,,,4.670755555555555,3.7840000000000003,5.805,sandy loam,50.13,16.19,26787.0,65.0,25.0,10.0
23,Kostelec,WWHT,140,71,0.0,0.0,grain,3.87,,3.8614,5.16,5.4868,,,4.3172,4.558,,5.1944,,3.7840000000000003,5.805,,,,,,4.670755555555555,3.7840000000000003,5.805,sandy loam,50.13,16.19,26787.0,65.0,25.0,10.0
24,Kostelec,WWHT,140,opt,100.0,10.0,grain,7.1638,,7.783,7.198199999999999,9.3224,,,7.5078000000000005,8.995600000000001,,8.1356,,6.8198,7.5680000000000005,,,,,,7.83268888888889,6.8198,9.3224,sandy loam,50.13,16.19,26787.0,65.0,25.0,10.0
25,Kostelec,WWHT,140,opt,100.0,10.0,grain,7.1638,,7.783,7.198199999999999,9.3224,,,7.5078000000000005,8.995600000000001,,8.1356,,6.8198,7.5680000000000005,,,,,,7.83268888888889,6.8198,9.3224,sandy loam,50.13,16.19,26787.0,65.0,25.0,10.0
26,Pernolec,WWHT,140,71,0.0,0.0,grain,2.4682,2.5198,2.4166,2.8895999999999997,,,,4.1366,,4.2741999999999996,,1.9694,,2.7778,,3.053,,3.2594,,2.97646,1.9694,4.2741999999999996,sandy loam,49.77,12.68,23110.0,65.0,25.0,10.0
27,Pernolec,WWHT,140,71,0.0,0.0,grain,2.4682,2.5198,2.4166,2.8895999999999997,,,,4.1366,,4.2741999999999996,,1.9694,,2.7778,,3.053,,3.2594,,2.97646,1.9694,4.2741999999999996,sandy loam,49.77,12.68,23110.0,65.0,25.0,10.0
28,Pernolec,WWHT,140,opt,100.0,10.0,grain,4.747199999999999,5.9254,4.5924,5.418,,,,6.071599999999999,,6.7940000000000005,,6.0802000000000005,,4.4117999999999995,,5.4696,,5.16,,5.46702,4.4117999999999995,6.7940000000000005,sandy loam,49.77,12.68,23110.0,65.0,25.0,10.0
29,Pernolec,WWHT,140,opt,100.0,10.0,grain,4.747199999999999,5.9254,4.5924,5.418,,,,6.071599999999999,,6.7940000000000005,,6.0802000000000005,,4.4117999999999995,,5.4696,,5.16,,5.46702,4.4117999999999995,6.7940000000000005,sandy loam,49.77,12.68,23110.0,65.0,25.0,10.0
30,Humpolec,WWHT,140,71,0.0,0.0,grain,2.6401999999999997,,,3.9474,,,2.3735999999999997,,3.053,,3.698,2.7520000000000002,,3.8871999999999995,,,2.0382000000000002,,,3.0486999999999997,2.0382000000000002,3.9474,sandy loam,49.56,15.35,27956.0,65.0,25.0,10.0
31,Humpolec,WWHT,140,opt,100.0,10.0,grain,6.192,,,7.774399999999999,,,4.6096,,6.8111999999999995,,7.009,6.0286,,6.467199999999999,,,4.9192,,,6.2264,4.6096,7.774399999999999,sandy loam,49.56,15.35,27956.0,65.0,25.0,10.0
32,Hněvčeves,C180,140,71,0.0,0.0,above-ground biomass,,7.34,,,,,,,,16.15,,,,,,,,11.3,,11.596666666666666,7.34,16.15,clay loam,50.31,15.72,26449.0,35.0,30.0,35.0
33,Hněvčeves,C180,140,71,0.0,0.0,above-ground biomass,,7.34,,,,,,,,16.15,,,,,,,,11.3,,11.596666666666666,7.34,16.15,clay loam,50.31,15.72,26449.0,35.0,30.0,35.0
34,Hněvčeves,C180,140,opt,120.0,10.0,above-ground biomass,,7.8,,,,,,,,17.79,,,,,,,,15.8,,13.796666666666667,7.8,17.79,clay loam,50.31,15.72,26449.0,35.0,30.0,35.0
35,Hněvčeves,C180,140,opt,120.0,10.0,above-ground biomass,,7.8,,,,,,,,17.79,,,,,,,,15.8,,13.796666666666667,7.8,17.79,clay loam,50.31,15.72,26449.0,35.0,30.0,35.0
36,Kostelec,C180,140,71,0.0,0.0,above-ground biomass,13.62,15.31,,,,,,,,14.13,,,,,,,,,,14.353333333333333,13.62,15.31,sandy loam,50.13,16.19,26787.0,65.0,25.0,10.0
37,Kostelec,C180,140,71,0.0,0.0,above-ground biomass,13.62,15.31,,,,,,,,14.13,,,,,,,,,,14.353333333333333,13.62,15.31,sandy loam,50.13,16.19,26787.0,65.0,25.0,10.0
38,Kostelec,C180,140,opt,120.0,10.0,above-ground biomass,19.47,20.26,,,,,,,,18.85,,,,,,,,,,19.526666666666667,18.85,20.26,sandy loam,50.13,16.19,26787.0,65.0,25.0,10.0
39,Kostelec,C180,140,opt,120.0,10.0,above-ground biomass,19.47,20.26,,,,,,,,18.85,,,,,,,,,,19.526666666666667,18.85,20.26,sandy loam,50.13,16.19,26787.0,65.0,25.0,10.0
40,Pernolec,C180,140,71,0.0,0.0,above-ground biomass,,8.05,,5.220000000000001,,,,,6.44,,8.47,,,,7.86,,12.23,,,8.045,5.220000000000001,12.23,sandy loam,49.77,12.68,23110.0,65.0,25.0,10.0
41,Pernolec,C180,140,71,0.0,0.0,above-ground biomass,,8.05,,5.220000000000001,,,,,6.44,,8.47,,,,7.86,,12.23,,,8.045,5.220000000000001,12.23,sandy loam,49.77,12.68,23110.0,65.0,25.0,10.0
42,Pernolec,C180,140,opt,120.0,10.0,above-ground biomass,,12.0,,5.58,,,,,6.95,,11.02,,,,12.62,,16.9,,,10.844999999999999,5.58,16.9,sandy loam,49.77,12.68,23110.0,65.0,25.0,10.0
43,Pernolec,C180,140,opt,120.0,10.0,above-ground biomass,,12.0,,5.58,,,,,6.95,,11.02,,,,12.62,,16.9,,,10.844999999999999,5.58,16.9,sandy loam,49.77,12.68,23110.0,65.0,25.0,10.0
44,Humpolec,C180,140,71,0.0,0.0,above-ground biomass,,,,,,,,,14.54,,,,,,,,,17.37,,15.955,14.54,17.37,sandy loam,49.56,15.35,27956.0,65.0,25.0,10.0
45,Humpolec,C180,140,opt,120.0,10.0,above-ground biomass,,,,,,,,,22.61,,,,,,,,,22.65,,22.63,22.61,22.65,sandy loam,49.56,15.35,27956.0,65.0,25.0,10.0
46,Hněvčeves,BARL,140,71,0.0,0.0,grain,,1.7457999999999998,,4.472,,4.6956,2.6574,3.3367999999999998,,3.5174,,3.4571999999999994,3.0357999999999996,4.0248,4.1022,3.9559999999999995,,5.8996,,3.7417166666666657,1.7457999999999998,5.8996,clay loam,50.31,15.72,26449.0,35.0,30.0,35.0
47,Hněvčeves,BARL,140,71,0.0,0.0,grain,,1.7457999999999998,,4.472,,4.6956,2.6574,3.3367999999999998,,3.5174,,3.4571999999999994,3.0357999999999996,4.0248,4.1022,3.9559999999999995,,5.8996,,3.7417166666666657,1.7457999999999998,5.8996,clay loam,50.31,15.72,26449.0,35.0,30.0,35.0
48,Hněvčeves,BARL,140,opt,60.0,10.0,grain,,4.601,,7.5078000000000005,,6.7424,2.3392,6.6908,,5.7362,,5.4868,4.4462,6.6306,7.74,7.353000000000001,,7.5938,,6.072316666666667,2.3392,7.74,clay loam,50.31,15.72,26449.0,35.0,30.0,35.0
49,Hněvčeves,BARL,140,opt,60.0,10.0,grain,,4.601,,7.5078000000000005,,6.7424,2.3392,6.6908,,5.7362,,5.4868,4.4462,6.6306,7.74,7.353000000000001,,7.5938,,6.072316666666667,2.3392,7.74,clay loam,50.31,15.72,26449.0,35.0,30.0,35.0
50,Kostelec,BARL,140,71,0.0,0.0,grain,,3.3626,,3.5603999999999996,,4.0935999999999995,1.6683999999999999,2.1586,,4.0506,,3.3626,3.6034,3.2508,2.7004,,,,,3.1811400000000005,1.6683999999999999,4.0935999999999995,sandy loam,50.13,16.19,26787.0,65.0,25.0,10.0
51,Kostelec,BARL,140,71,0.0,0.0,grain,,3.3626,,3.5603999999999996,,4.0935999999999995,1.6683999999999999,2.1586,,4.0506,,3.3626,3.6034,3.2508,2.7004,,,,,3.1811400000000005,1.6683999999999999,4.0935999999999995,sandy loam,50.13,16.19,26787.0,65.0,25.0,10.0
52,Kostelec,BARL,140,opt,60.0,10.0,grain,,5.4438,,5.848,,5.7448,3.0272,4.816,,5.2116,,6.4242,6.2092,6.7940000000000005,4.6096,,,,,5.41284,3.0272,6.7940000000000005,sandy loam,50.13,16.19,26787.0,65.0,25.0,10.0
53,Kostelec,BARL,140,opt,60.0,10.0,grain,,5.4438,,5.848,,5.7448,3.0272,4.816,,5.2116,,6.4242,6.2092,6.7940000000000005,4.6096,,,,,5.41284,3.0272,6.7940000000000005,sandy loam,50.13,16.19,26787.0,65.0,25.0,10.0
54,Pernolec,BARL,140,71,0.0,0.0,grain,,1.9951999999999999,,,2.6058,2.666,,1.333,,2.0812,,2.9498,2.967,,3.3626,,,2.924,,2.542733333333333,1.333,3.3626,sandy loam,49.77,12.68,23110.0,65.0,25.0,10.0
55,Pernolec,BARL,140,71,0.0,0.0,grain,,1.9951999999999999,,,2.6058,2.666,,1.333,,2.0812,,2.9498,2.967,,3.3626,,,2.924,,2.542733333333333,1.333,3.3626,sandy loam,49.77,12.68,23110.0,65.0,25.0,10.0
56,Pernolec,BARL,140,opt,60.0,10.0,grain,,4.9708000000000006,,,5.6502,4.128,,2.0382000000000002,,3.3454,,4.816,4.687,,4.2914,,,4.6096,,4.281844444444445,2.0382000000000002,5.6502,sandy loam,49.77,12.68,23110.0,65.0,25.0,10.0
57,Pernolec,BARL,140,opt,60.0,10.0,grain,,4.9708000000000006,,,5.6502,4.128,,2.0382000000000002,,3.3454,,4.816,4.687,,4.2914,,,4.6096,,4.281844444444445,2.0382000000000002,5.6502,sandy loam,49.77,12.68,23110.0,65.0,25.0,10.0
58,Humpolec,BARL,140,71,0.0,0.0,grain,,2.8122,3.44,,,,,2.3564000000000003,,2.2618,2.408,,4.214,,,3.4314,3.1992000000000003,,,3.015375,2.2618,4.214,sandy loam,49.56,15.35,27956.0,65.0,25.0,10.0
59,Humpolec,BARL,140,opt,60.0,10.0,grain,,3.999,5.8996,,,,,4.3,,4.128,4.0506,,6.364,,,5.9512,5.22278,,,4.9893975,3.999,6.364,sandy loam,49.56,15.35,27956.0,65.0,25.0,10.0
60,Žabčice,BARL,DP23-mono,0,0.0,0.0,grain,,2.261,3.1535,2.856,5.168,3.638,1.7594999999999998,2.125,6.341,4.326499999999999,3.4935,5.5505,2.788,4.641,5.5165,5.3549999999999995,4.0035,4.097,,3.9454999999999996,1.7594999999999998,6.341,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
61,Žabčice,BARL,DP23-mono,0,0.0,0.0,grain,,2.261,3.1535,2.856,5.168,3.638,1.7594999999999998,2.125,6.341,4.326499999999999,3.4935,5.5505,2.788,4.641,5.5165,5.3549999999999995,4.0035,4.097,,3.9454999999999996,1.7594999999999998,6.341,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
62,Žabčice,BARL,DP23-mono,30,30.0,0.0,grain,,2.975,3.4849999999999994,4.5729999999999995,6.272999999999999,5.116999999999999,2.9325000000000006,2.584,7.344,4.7855,6.0945,6.4005,2.533,5.763,6.298500000000001,6.5024999999999995,4.811,5.218999999999999,,4.923,2.533,7.344,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
63,Žabčice,BARL,DP23-mono,30,30.0,0.0,grain,,2.975,3.4849999999999994,4.5729999999999995,6.272999999999999,5.116999999999999,2.9325000000000006,2.584,7.344,4.7855,6.0945,6.4005,2.533,5.763,6.298500000000001,6.5024999999999995,4.811,5.218999999999999,,4.923,2.533,7.344,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
64,Žabčice,BARL,DP23-mono,60,60.0,0.0,grain,,3.4169999999999994,3.9695,4.794,6.511,5.8309999999999995,3.468,2.771,7.5735,5.474,7.1655,7.14,2.8475,6.426,7.021,7.1315,5.44,5.933,,5.4655,2.771,7.5735,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
65,Žabčice,BARL,DP23-mono,60,60.0,0.0,grain,,3.4169999999999994,3.9695,4.794,6.511,5.8309999999999995,3.468,2.771,7.5735,5.474,7.1655,7.14,2.8475,6.426,7.021,7.1315,5.44,5.933,,5.4655,2.771,7.5735,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
66,Žabčice,BARL,DP23-mono,90,90.0,0.0,grain,,3.5955000000000004,4.08,4.9639999999999995,5.899,6.018,3.3149999999999995,3.111,7.3525,6.060499999999999,7.0635,7.377999999999999,2.8899999999999997,4.9895,7.497,7.395,5.4485,6.663999999999999,,5.512999999999999,2.8899999999999997,7.497,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
67,Žabčice,BARL,DP23-mono,90,90.0,0.0,grain,,3.5955000000000004,4.08,4.9639999999999995,5.899,6.018,3.3149999999999995,3.111,7.3525,6.060499999999999,7.0635,7.377999999999999,2.8899999999999997,4.9895,7.497,7.395,5.4485,6.663999999999999,,5.512999999999999,2.8899999999999997,7.497,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
68,Žabčice,WWHT,DP23-mono,0,0.0,0.0,grain,,,,3.3149999999999995,7.3525,6.681,4.7345,4.114,4.658,5.185,1.9465,7.318499999999999,1.2665,7.939,9.061,7.335500000000001,8.738,5.1765,,5.654766666666668,1.2665,9.061,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
69,Žabčice,WWHT,DP23-mono,0,0.0,0.0,grain,,,,3.3149999999999995,7.3525,6.681,4.7345,4.114,4.658,5.185,1.9465,7.318499999999999,1.2665,7.939,9.061,7.335500000000001,8.738,5.1765,,5.654766666666668,1.2665,9.061,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
70,Žabčice,WWHT,DP23-mono,100,100.0,0.0,grain,,,,4.063,9.01,6.5535,5.236,4.862,5.338,5.7715,5.839499999999999,7.4885,0.935,6.9445,8.398,6.7490000000000006,7.828500000000001,5.202,,6.014600000000001,0.935,9.01,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
71,Žabčice,WWHT,DP23-mono,100,100.0,0.0,grain,,,,4.063,9.01,6.5535,5.236,4.862,5.338,5.7715,5.839499999999999,7.4885,0.935,6.9445,8.398,6.7490000000000006,7.828500000000001,5.202,,6.014600000000001,0.935,9.01,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
72,Žabčice,C100,DP23-mono,0,0.0,25.0,grain,,,,4.385999999999999,7.060600000000001,12.2292,9.2966,5.418,5.805,8.041,4.3602,9.03,5.2288,5.2459999999999996,7.8776,2.8895999999999997,11.3004,3.2766,,6.76304,2.8895999999999997,12.2292,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
73,Žabčice,C100,DP23-mono,0,0.0,25.0,grain,,,,4.385999999999999,7.060600000000001,12.2292,9.2966,5.418,5.805,8.041,4.3602,9.03,5.2288,5.2459999999999996,7.8776,2.8895999999999997,11.3004,3.2766,,6.76304,2.8895999999999997,12.2292,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
74,Žabčice,C100,DP23-mono,120,120.0,25.0,grain,,,,6.063000000000001,6.7166,12.556,9.399799999999999,6.0544,6.106000000000001,10.3974,5.5728,9.494399999999999,5.3492,5.891,8.3076,2.6144,10.5092,5.633,,7.377653333333333,2.6144,12.556,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
75,Žabčice,C100,DP23-mono,120,120.0,25.0,grain,,,,6.063000000000001,6.7166,12.556,9.399799999999999,6.0544,6.106000000000001,10.3974,5.5728,9.494399999999999,5.3492,5.891,8.3076,2.6144,10.5092,5.633,,7.377653333333333,2.6144,12.556,clay loam,49.02,16.61,27913.0,35.0,30.0,35.0
76,Ivanovice,WWHT,DP04-mono,111+112,120.0,0.0,grain,5.4782,4.687,5.6244,3.6635999999999997,8.2302,6.0716,5.5040000000000004,5.4524,7.2412,7.396,5.289000000000001,6.9746,2.2704,6.252199999999999,6.1662,6.4414,5.7620000000000005,2.4768,,5.610066666666666,2.2704,8.2302,,,,,,,
77,Ivanovice,BARL,DP04-mono,211+212,50.0,0.0,grain,4.00158,6.2092,5.0396,4.4117999999999995,6.0973999999999995,6.622,2.1672,5.6072,8.0668,6.4758000000000004,4.9364,7.335799999999999,3.28,5.5556,6.6822,7.542199999999999,5.5384,4.2484,,5.54542111111111,2.1672,8.0668,,,,,,,
78,Horažďovice,BARL,AZP,0,0.0,0.0,grain,,,,1.8145999999999998,,3.0788,,,,,,3.0702,,1.4730019999999997,,,,,,2.3591504999999997,1.4730019999999997,3.0788,loamy sand,49.34,13.7,23089.0,82.0,13.0,5.0
79,Horažďovice,BARL,AZP,0,0.0,0.0,grain,,,,1.8145999999999998,,3.0788,,,,,,3.0702,,1.4730019999999997,,,,,,2.3591504999999997,1.4730019999999997,3.0788,loamy sand,49.34,13.7,23089.0,82.0,13.0,5.0
80,Horažďovice,BARL,AZP,FYM.,0.0,10.0,grain,,,,1.935,,3.9044,,,,,,3.6464000000000003,,1.9197226666666667,,,,,,2.8513806666666666,1.9197226666666667,3.9044,loamy sand,49.34,13.7,23089.0,82.0,13.0,5.0
81,Horažďovice,BARL,AZP,FYM.,0.0,10.0,grain,,,,1.935,,3.9044,,,,,,3.6464000000000003,,1.9197226666666667,,,,,,2.8513806666666666,1.9197226666666667,3.9044,loamy sand,49.34,13.7,23089.0,82.0,13.0,5.0
82,Horažďovice,BARL,AZP,N3P3K3+FYM,60.0,10.0,grain,,,,3.0185999999999997,,5.5556,,,,,,5.675999999999999,,3.9272039999999997,,,,,,4.544351,3.0185999999999997,5.675999999999999,loamy sand,49.34,13.7,23089.0,82.0,13.0,5.0
83,Horažďovice,BARL,AZP,N3P3K3+FYM,60.0,10.0,grain,,,,3.0185999999999997,,5.5556,,,,,,5.675999999999999,,3.9272039999999997,,,,,,4.544351,3.0185999999999997,5.675999999999999,loamy sand,49.34,13.7,23089.0,82.0,13.0,5.0
84,Chrastava,BARL,AZP,0,0.0,0.0,grain,,,,1.4706,,2.3564000000000003,,,,,,2.2962,,1.6017437745740497,,,,,,1.9312359436435123,1.4706,2.3564000000000003,loamy sand,50.82,14.95,26459.0,82.0,13.0,5.0
85,Chrastava,BARL,AZP,0,0.0,0.0,grain,,,,1.4706,,2.3564000000000003,,,,,,2.2962,,1.6017437745740497,,,,,,1.9312359436435123,1.4706,2.3564000000000003,loamy sand,50.82,14.95,26459.0,82.0,13.0,5.0
86,Chrastava,BARL,AZP,FYM.,0.0,10.0,grain,,,,1.4276,,3.2766,,,,,,2.2876000000000003,,2.5856605504587167,,,,,,2.3943651376146793,1.4276,3.2766,loamy sand,50.82,14.95,26459.0,82.0,13.0,5.0
87,Chrastava,BARL,AZP,FYM.,0.0,10.0,grain,,,,1.4276,,3.2766,,,,,,2.2876000000000003,,2.5856605504587167,,,,,,2.3943651376146793,1.4276,3.2766,loamy sand,50.82,14.95,26459.0,82.0,13.0,5.0
88,Chrastava,BARL,AZP,N3P3K3+FYM,60.0,10.0,grain,,,,4.9879999999999995,,3.526,,,,,,4.575200000000001,,3.1958481869812143,,,,,,4.071262046745304,3.1958481869812143,4.9879999999999995,loamy sand,50.82,14.95,26459.0,82.0,13.0,5.0
89,Chrastava,BARL,AZP,N3P3K3+FYM,60.0,10.0,grain,,,,4.9879999999999995,,3.526,,,,,,4.575200000000001,,3.1958481869812143,,,,,,4.071262046745304,3.1958481869812143,4.9879999999999995,loamy sand,50.82,14.95,26459.0,82.0,13.0,5.0
90,Jaroměřice,BARL,AZP,0,0.0,0.0,grain,,,,1.4276,,4.214,,,,,,2.7004,,2.6727799999999995,,,,,,2.753695,1.4276,4.214,clay loam,49.1,15.88,27966.0,35.0,30.0,35.0
91,Jaroměřice,BARL,AZP,0,0.0,0.0,grain,,,,1.4276,,4.214,,,,,,2.7004,,2.6727799999999995,,,,,,2.753695,1.4276,4.214,clay loam,49.1,15.88,27966.0,35.0,30.0,35.0
